Date,Name,Year,Success
4/30/2019,Venezuela,2019,2
11/10/2019,Bolivia,2019,1
4/23/2018,Armenia,2018,1
11/25/2022,Sao Tome and Principe,2022,2
2/1/2022,Guinea-Bissau,2022,2
12/30/2014,The Gambia,2014,2
8/18/2020,Mali,2020,1
5/24/2021,Mali,2021,1
3/31/2021,Niger,2021,2
9/5/2021,Guinea,2021,1
10/31/2014,Burkina Faso,2014,1
9/16/2015,Burkina Faso,2015,2
1/24/2022,Burkina Faso,2022,1
9/30/2022,Burkina Faso,2022,1
1/7/2019,Gabon,2019,2
4/20/2021,Chad,2021,1
5/13/2015,Burundi,2015,2
11/21/2017,Zimbabwe,2017,1
8/30/2014,Lesotho,2014,2
4/2/2019,Algeria,2019,1
10/10/2013,Libya,2013,2
5/16/2014,Libya,2014,2
10/16/2016,Libya,2016,2
4/11/2019,Sudan,2019,1
9/21/2021,Sudan,2021,2
10/25/2021,Sudan,2021,1
7/15/2016,Turkey,2016,2
7/3/2013,Egypt,2013,1
2/1/2021,Myanmar,2021,1
5/22/2014,Thailand,2014,1
